"","folder","ess_likelihood","tree","best_or_gen"
"228","data/0.2-0-0.5-0.1/116",740,"twin","best"
"229","data/0.2-0-0.5-0.1/117",595,"true","gen"
"230","data/0.2-0-0.5-0.1/117",620,"true","best"
"231","data/0.2-0-0.5-0.1/117",848,"twin","gen"
"232","data/0.2-0-0.5-0.1/117",901,"twin","best"
"233","data/0.2-0-0.5-0.1/118",734,"true","gen"
"234","data/0.2-0-0.5-0.1/118",683,"true","best"
"235","data/0.2-0-0.5-0.1/118",901,"twin","gen"
"236","data/0.2-0-0.5-0.1/118",685,"twin","best"
"237","data/0.2-0-0.5-0.1/119",813,"true","gen"
"238","data/0.2-0-0.5-0.1/119",638,"true","best"
"239","data/0.2-0-0.5-0.1/119",901,"twin","gen"
"240","data/0.2-0-0.5-0.1/119",584,"twin","best"
"241","data/0.2-0-0.5-0.1/120",730,"true","gen"
"242","data/0.2-0-0.5-0.1/120",713,"true","best"
"243","data/0.2-0-0.5-0.1/120",726,"twin","gen"
"244","data/0.2-0-0.5-0.1/120",901,"twin","best"
"245","data/0.2-0-0.5-0.1/81",677,"true","gen"
"246","data/0.2-0-0.5-0.1/81",570,"true","best"
"247","data/0.2-0-0.5-0.1/81",817,"twin","gen"
"248","data/0.2-0-0.5-0.1/81",565,"twin","best"
"249","data/0.2-0-0.5-0.1/82",2,"true","gen"
"250","data/0.2-0-0.5-0.1/82",415,"true","best"
"251","data/0.2-0-0.5-0.1/82",2,"twin","gen"
"252","data/0.2-0-0.5-0.1/82",407,"twin","best"
"253","data/0.2-0-0.5-0.1/83",901,"true","gen"
"254","data/0.2-0-0.5-0.1/83",828,"true","best"
"255","data/0.2-0-0.5-0.1/83",901,"twin","gen"
"256","data/0.2-0-0.5-0.1/83",901,"twin","best"
"257","data/0.2-0-0.5-0.1/84",901,"true","gen"
"258","data/0.2-0-0.5-0.1/84",583,"true","best"
"259","data/0.2-0-0.5-0.1/84",901,"twin","gen"
"260","data/0.2-0-0.5-0.1/84",716,"twin","best"
"261","data/0.2-0-0.5-0.1/85",901,"true","gen"
"262","data/0.2-0-0.5-0.1/85",809,"true","best"
"263","data/0.2-0-0.5-0.1/85",901,"twin","gen"
"264","data/0.2-0-0.5-0.1/85",901,"twin","best"
"265","data/0.2-0-0.5-0.1/86",861,"true","gen"
"266","data/0.2-0-0.5-0.1/86",858,"true","best"
"267","data/0.2-0-0.5-0.1/86",901,"twin","gen"
"268","data/0.2-0-0.5-0.1/86",901,"twin","best"
"269","data/0.2-0-0.5-0.1/87",661,"true","gen"
"270","data/0.2-0-0.5-0.1/87",2,"true","best"
"271","data/0.2-0-0.5-0.1/87",842,"twin","gen"
"272","data/0.2-0-0.5-0.1/87",2,"twin","best"
"273","data/0.2-0-0.5-0.1/88",782,"true","gen"
"274","data/0.2-0-0.5-0.1/88",901,"true","best"
"275","data/0.2-0-0.5-0.1/88",788,"twin","gen"
"276","data/0.2-0-0.5-0.1/88",901,"twin","best"
"277","data/0.2-0-0.5-0.1/89",901,"true","gen"
"278","data/0.2-0-0.5-0.1/89",862,"true","best"
"279","data/0.2-0-0.5-0.1/89",780,"twin","gen"
"280","data/0.2-0-0.5-0.1/89",901,"twin","best"
"281","data/0.2-0-0.5-0.1/90",778,"true","gen"
"282","data/0.2-0-0.5-0.1/90",667,"true","best"
"283","data/0.2-0-0.5-0.1/90",888,"twin","gen"
"284","data/0.2-0-0.5-0.1/90",677,"twin","best"
